% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	-95.4788	16.8378	0
0.00121428	1	1	0	-92.5435	281.059	0
0.00221428	1	1	0	-91.9845	283.972	0
0.00321428	1	1	0	-91.8627	304.323	0
0.00421428	1	1	0	-91.8818	287.712	0
0.00521428	1	1	0	-91.847	318.804	0
0.00621428	1	1	0	-90.767	413.219	0
0.00721428	1	1	0	-90.9056	344.279	0
0.00821428	1	1	0	-90.5225	381.505	0
0.00921428	1	1	0	-91.0737	295.92	0
0.0102143	1	1	0	-90.5011	327.522	0
0.0112143	1	1	0	-90.829	300.993	0
0.0122143	1	1	0	-91.4284	222.086	0
0.0132143	1	1	0	-91.3913	194.787	0
0.0142143	1	1	0	-91.3277	181.989	0
0.0152143	1	1	0	-91.211	191.967	0
0.0162143	1	1	0	-91.3484	194.07	0
0.0172143	1	1	0	-91.1522	246.62	0
0.0182143	1	1	0	-90.7996	250.085	0
0.0192143	1	1	0	-91.0565	229.236	0
0.0202143	1	1	0	-89.856	268.95	0
0.0212143	1	1	1	-90.1645	309.976	0
0.0222143	1	1	1	-89.2706	354.254	0
0.0232143	1	1	1	-88.9632	346.457	0
0.0242143	1	1	1	-89.0312	356.974	0
0.0252143	1	1	1	-89.4971	320.354	0
0.0262143	1	1	1	-90.4384	227.796	0
0.0272143	1	1	1	-90.7475	195.959	0
0.0282143	1	1	1	-90.6637	217.177	0
0.0292143	1	1	1	-89.77	324.616	0
0.0302143	1	1	1	-90.3455	258.542	0
0.0312143	1	1	1	-90.2467	219.508	0
0.0322143	1	1	1	-90.3999	169.415	0
0.0332143	1	1	1	-89.7133	178.36	0
0.0342143	1	1	1	-90.1	138.697	0
0.0352143	1	1	1	-90.6775	110.087	0
0.0362143	1	1	1	-90.0584	131.472	0
0.0372143	1	1	1	-90.4174	115.996	0
0.0382143	1	1	1	-90.1093	123.996	0
0.0392143	1	1	1	-90.1603	118.526	0
0.0402143	1	1	1	-89.2991	165.449	0
0.0412143	1	1	1	-90.0175	155.128	0
0.0422143	1	1	1	-89.9516	174.876	0
0.0432143	1	1	1	-90.8095	182.197	0
0.0442143	1	1	1	-91.4689	187.074	0
0.0452143	1	1	1	-92.0364	160.071	0
0.0462143	1	1	1	-91.6711	174.518	0
0.0472143	1	1	1	-91.8412	178.966	0
0.0482143	1	1	1	-92.1761	194.098	0
0.0492143	1	1	1	-91.6949	185.454	0
0.0502143	1	1	1	-91.6914	185.861	0
0.0512143	1	1	1	-91.6998	179.846	0
0.0522143	1	1	1	-91.6697	157.814	0
0.0532143	1	1	1	-92.0236	125.905	0
0.0542143	1	1	1	-92.1742	125.88	0
0.0552143	1	1	1	-92.1973	118.854	0
0.0562143	1	1	1	-92.7437	79.2769	0
0.0572143	1	1	1	-92.7196	80.8292	0
0.0582143	1	1	1	-92.535	96.3247	0
0.0592143	1	1	1	-92.3614	111.174	0
0.0602143	1	1	1	-92.1621	115.412	0
0.0612143	1	1	1	-91.4669	143.767	0
0.0622143	1	1	1	-91.1228	142.921	0
0.0632143	1	1	1	-91.1586	117.913	0
0.0642143	1	1	1	-90.8217	121.555	0
0.0652143	1	1	1	-90.799	125.196	0
0.0662143	1	1	1	-90.4324	140.168	0
0.0672143	1	1	1	-90.0881	172.062	0
0.0682143	1	1	1	-89.4802	194.195	0
0.0692143	1	1	1	-89.7747	166.152	0
0.0702143	1	1	1	-89.2277	205.638	0
0.0712143	1	1	1	-89.9464	166.344	0
0.0722143	1	1	1	-89.7871	210.526	0
0.0732143	1	1	1	-90.3975	190.37	0
0.0742143	1	1	1	-89.9975	168.012	0
0.0752143	1	1	1	-90.8771	133.425	0
0.0762143	1	1	1	-90.5153	156.813	0
0.0772143	1	1	1	-90.7297	127.527	0
0.0782143	1	1	1	-90.5633	111.648	0
0.0792143	1	1	1	-90.364	122.978	0
0.0802143	1	1	1	-89.5477	194.371	0
0.0812143	1	1	1	-89.9288	193.094	0
0.0822143	1	1	1	-89.5703	190.795	0
0.0832143	1	1	1	-89.8041	191.337	0
0.0842143	1	1	1	-88.9527	219.621	0
0.0852143	1	1	1	-88.2329	225.701	0
0.0862143	1	1	1	-88.9482	194.317	0
0.0872143	1	1	1	-88.873	212.974	0
0.0882143	1	1	1	-88.8123	226.322	0
0.0892143	1	1	1	-88.3395	212.183	0
0.0902143	1	1	1	-87.6748	288.631	0
0.0912143	1	1	1	-87.3333	279.182	0
0.0922143	1	1	1	-87.119	308.16	0
0.0932143	1	1	1	-87.0125	346.289	0
0.0942143	1	1	1	-87.0671	301.048	0
0.0952143	1	1	1	-87.2246	320.108	0
0.0962143	1	1	1	-87.7298	288.769	0
0.0972143	1	1	1	-88.2007	220.253	0
0.0982143	1	1	1	-87.8594	326.685	0
0.0992143	1	1	1	-87.2997	385.416	0
0.100214	1	1	1	-87.3428	358.857	0
0.101214	1	1	1	-87.3294	377.241	0
0.102214	1	1	1	-87.643	341.839	0
0.103214	1	1	1	-87.6028	354.569	0
0.104214	1	1	1	-87.8318	345.913	0
